Rank,Score,Num1,Num2,Num3,Num4,Num5,Sum,Even,Odd,Mean,Median
54,67.0,9,14,17,28,35,103,2,3,20.6,17.0
55,67.0,5,15,17,26,40,103,2,3,20.6,17.0
56,67.0,6,14,23,29,31,103,2,3,20.6,23.0
57,67.0,8,12,17,29,37,103,2,3,20.6,17.0
58,67.0,6,11,17,24,39,97,2,3,19.4,17.0
59,67.0,1,14,22,27,39,103,2,3,20.6,22.0
60,67.0,1,13,18,28,37,97,2,3,19.4,18.0
61,67.0,9,19,21,24,30,103,2,3,20.6,21.0
62,67.0,1,18,24,27,33,103,2,3,20.6,24.0
63,67.0,7,16,19,24,37,103,2,3,20.6,19.0
64,67.0,7,9,19,28,34,97,2,3,19.4,19.0
65,67.0,7,13,21,24,38,103,2,3,20.6,21.0
66,67.0,1,16,25,27,34,103,2,3,20.6,25.0
67,67.0,5,16,18,23,35,97,2,3,19.4,18.0
68,67.0,3,11,19,28,36,97,2,3,19.4,19.0
69,67.0,9,14,23,25,32,103,2,3,20.6,23.0
70,67.0,7,13,18,27,32,97,2,3,19.4,18.0
71,67.0,3,11,18,30,41,103,2,3,20.6,18.0
72,67.0,1,16,21,27,32,97,2,3,19.4,21.0
73,67.0,7,11,18,25,42,103,2,3,20.6,18.0
74,67.0,5,12,21,26,39,103,2,3,20.6,21.0
75,67.0,5,9,16,26,41,97,2,3,19.4,16.0
76,66.5,4,11,22,28,39,104,3,2,20.8,22.0
77,66.5,5,18,24,27,30,104,3,2,20.8,24.0
78,66.5,7,10,13,26,40,96,3,2,19.2,13.0
79,66.5,2,14,19,24,37,96,3,2,19.2,19.0
80,66.5,4,10,17,33,40,104,3,2,20.8,17.0
81,66.5,2,17,20,31,40,110,3,2,22.0,20.0
82,66.5,2,5,13,34,42,96,3,2,19.2,13.0
83,66.5,6,9,15,24,42,96,3,2,19.2,15.0
84,66.5,5,9,18,24,40,96,3,2,19.2,18.0
85,66.5,2,4,19,37,42,104,3,2,20.8,19.0
86,66.5,2,13,21,26,42,104,3,2,20.8,21.0
87,66.5,1,12,22,28,33,96,3,2,19.2,22.0
88,66.5,1,4,18,32,41,96,3,2,19.2,18.0
89,66.5,4,18,20,23,31,96,3,2,19.2,20.0
90,66.5,3,12,16,32,41,104,3,2,20.8,16.0
91,66.5,1,14,18,30,41,104,3,2,20.8,18.0
92,66.5,4,10,21,30,39,104,3,2,20.8,21.0
93,66.5,1,12,17,34,40,104,3,2,20.8,17.0
94,66.5,2,18,25,27,32,104,3,2,20.8,25.0
95,66.5,5,11,20,26,42,104,3,2,20.8,20.0
96,66.0,4,17,19,28,37,105,2,3,21.0,19.0
97,66.0,5,18,20,29,33,105,2,3,21.0,20.0
98,66.0,6,10,15,29,35,95,2,3,19.0,15.0
99,66.0,3,5,26,31,40,105,2,3,21.0,26.0
100,66.0,1,17,22,24,31,95,2,3,19.0,22.0
101,66.0,9,14,20,23,39,105,2,3,21.0,20.0
102,66.0,2,15,21,27,30,95,2,3,19.0,21.0
103,66.0,5,12,17,20,41,95,2,3,19.0,17.0
104,66.0,3,9,16,26,41,95,2,3,19.0,16.0
105,66.0,9,11,18,25,32,95,2,3,19.0,18.0
106,66.0,7,11,16,29,42,105,2,3,21.0,16.0
107,66.0,7,13,20,26,39,105,2,3,21.0,20.0
108,66.0,9,11,19,24,32,95,2,3,19.0,19.0
109,66.0,5,15,19,26,40,105,2,3,21.0,19.0
110,65.51,5,12,23,30,42,112,3,2,22.4,23.0
111,65.5,1,15,20,28,42,106,3,2,21.2,20.0
112,65.5,8,12,23,30,33,106,3,2,21.2,23.0
113,65.5,9,12,16,21,36,94,3,2,18.8,16.0
114,65.5,7,14,18,21,34,94,3,2,18.8,18.0
115,65.5,3,11,26,32,34,106,3,2,21.2,26.0
116,65.5,4,19,24,27,32,106,3,2,21.2,24.0
117,65.5,8,15,19,24,40,106,3,2,21.2,19.0
118,65.5,5,12,27,30,32,106,3,2,21.2,27.0
119,65.5,4,11,17,32,42,106,3,2,21.2,17.0
120,65.5,7,10,12,25,40,94,3,2,18.8,12.0
121,65.5,2,11,18,25,38,94,3,2,18.8,18.0
122,65.5,5,9,14,28,38,94,3,2,18.8,14.0
123,65.5,5,12,22,24,31,94,3,2,18.8,22.0
124,65.5,1,16,18,23,36,94,3,2,18.8,18.0
125,65.5,4,8,16,37,41,106,3,2,21.2,16.0
126,65.5,4,9,18,35,40,106,3,2,21.2,18.0
127,65.5,2,16,18,25,33,94,3,2,18.8,18.0
128,65.5,6,8,11,36,39,100,3,2,20.0,11.0
129,65.01,6,11,20,35,41,113,2,3,22.6,20.0
130,65.0,8,11,14,33,35,101,2,3,20.2,14.0
131,65.0,8,10,19,21,35,93,2,3,18.6,19.0
132,65.0,1,10,19,24,39,93,2,3,18.6,19.0
133,65.0,4,11,19,22,37,93,2,3,18.6,19.0
134,65.0,6,19,23,25,34,107,2,3,21.4,23.0
135,65.0,2,13,15,24,39,93,2,3,18.6,15.0
136,65.0,7,9,24,27,32,99,2,3,19.8,24.0
137,65.0,1,12,25,29,40,107,2,3,21.4,25.0
138,65.0,3,12,27,30,35,107,2,3,21.4,27.0
139,65.0,7,10,17,31,36,101,2,3,20.2,17.0
140,65.0,5,17,20,24,41,107,2,3,21.4,20.0
141,65.0,2,10,19,31,39,101,2,3,20.2,19.0
142,65.0,5,9,12,29,38,93,2,3,18.6,12.0
143,65.0,5,14,16,31,35,101,2,3,20.2,16.0
144,65.0,4,9,17,32,39,101,2,3,20.2,17.0
145,65.0,6,9,14,27,37,93,2,3,18.6,14.0
146,65.0,5,10,15,33,36,99,2,3,19.8,15.0
147,65.0,3,5,21,34,38,101,2,3,20.2,21.0
148,65.0,5,11,15,32,38,101,2,3,20.2,15.0
149,65.0,3,13,20,32,39,107,2,3,21.4,20.0
150,65.0,2,10,17,25,39,93,2,3,18.6,17.0
151,65.0,2,9,25,31,40,107,2,3,21.4,25.0
152,65.0,7,14,16,31,33,101,2,3,20.2,16.0
153,65.0,3,8,14,35,39,99,2,3,19.8,14.0
154,65.0,3,8,16,27,39,93,2,3,18.6,16.0
155,64.51,2,19,23,30,40,114,3,2,22.8,23.0
156,64.51,3,14,25,32,40,114,3,2,22.8,25.0
157,64.5,4,13,18,22,35,92,3,2,18.4,18.0
158,64.5,5,18,23,26,36,108,3,2,21.6,23.0
159,64.5,3,12,25,30,38,108,3,2,21.6,25.0
160,64.5,6,10,23,29,40,108,3,2,21.6,23.0
161,64.5,6,12,21,29,40,108,3,2,21.6,21.0
162,64.5,2,8,21,32,39,102,3,2,20.4,21.0
163,64.5,4,9,12,25,42,92,3,2,18.4,12.0
164,64.5,5,14,19,24,30,92,3,2,18.4,19.0
165,64.5,9,13,16,24,30,92,3,2,18.4,16.0
166,64.5,3,10,25,34,36,108,3,2,21.6,25.0
167,64.5,7,10,12,23,40,92,3,2,18.4,12.0
168,64.5,8,17,20,27,36,108,3,2,21.6,20.0
169,64.5,4,8,19,26,35,92,3,2,18.4,19.0
170,64.5,2,10,15,33,38,98,3,2,19.6,15.0
171,64.5,3,8,24,30,33,98,3,2,19.6,24.0
172,64.5,6,10,17,26,33,92,3,2,18.4,17.0
173,64.5,8,17,24,28,31,108,3,2,21.6,24.0
174,64.5,1,16,19,32,40,108,3,2,21.6,19.0
175,64.5,2,10,22,27,31,92,3,2,18.4,22.0
176,64.5,4,14,19,31,40,108,3,2,21.6,19.0
177,64.5,6,14,23,26,39,108,3,2,21.6,23.0
178,64.5,8,14,17,27,42,108,3,2,21.6,17.0
179,64.5,3,16,18,20,35,92,3,2,18.4,18.0
180,64.5,8,17,20,22,41,108,3,2,21.6,20.0
181,64.5,4,11,16,32,39,102,3,2,20.4,16.0
182,64.5,6,11,16,33,42,108,3,2,21.6,16.0
183,64.5,2,9,22,25,40,98,3,2,19.6,22.0
184,64.5,2,14,19,24,33,92,3,2,18.4,19.0
185,64.5,4,7,22,28,41,102,3,2,20.4,22.0
186,64.5,4,12,17,20,39,92,3,2,18.4,17.0
187,64.5,1,8,26,28,35,98,3,2,19.6,26.0
188,64.5,6,14,19,30,33,102,3,2,20.4,19.0
189,64.01,1,12,25,37,40,115,2,3,23.0,25.0
190,64.01,3,10,25,37,40,115,2,3,23.0,25.0
191,64.0,5,8,18,21,39,91,2,3,18.2,18.0
192,64.0,1,10,13,34,39,97,2,3,19.4,13.0
193,64.0,1,7,18,33,38,97,2,3,19.4,18.0
194,64.0,6,12,23,27,41,109,2,3,21.8,23.0
195,64.0,1,15,23,34,36,109,2,3,21.8,23.0
196,64.0,2,7,11,29,42,91,2,3,18.2,11.0
197,64.0,5,11,14,37,42,109,2,3,21.8,14.0
198,64.0,3,11,18,24,35,91,2,3,18.2,18.0
199,64.0,3,8,25,30,37,103,2,3,20.6,25.0
200,64.0,5,13,18,31,36,103,2,3,20.6,18.0
201,64.0,3,16,25,28,37,109,2,3,21.8,25.0
202,64.0,2,13,25,29,40,109,2,3,21.8,25.0
203,64.0,5,7,12,27,40,91,2,3,18.2,12.0
204,64.0,5,12,17,35,40,109,2,3,21.8,17.0
205,64.0,5,14,22,27,41,109,2,3,21.8,22.0
206,64.0,3,16,19,22,31,91,2,3,18.2,19.0
207,64.0,3,11,18,20,39,91,2,3,18.2,18.0
208,64.0,1,5,26,28,37,97,2,3,19.4,26.0
209,64.0,1,8,22,29,37,97,2,3,19.4,22.0
210,64.0,5,14,19,30,35,103,2,3,20.6,19.0
211,64.0,1,14,19,26,31,91,2,3,18.2,19.0
212,64.0,1,9,20,32,35,97,2,3,19.4,20.0
213,64.0,2,5,29,31,36,103,2,3,20.6,29.0
214,64.0,1,3,16,29,42,91,2,3,18.2,16.0
215,64.0,4,8,17,23,39,91,2,3,18.2,17.0
216,63.51,6,11,17,36,40,110,3,2,22.0,17.0
217,63.51,5,10,20,22,33,90,3,2,18.0,20.0
218,63.51,2,17,20,29,42,110,3,2,22.0,20.0
219,63.51,4,8,25,31,42,110,3,2,22.0,25.0
220,63.51,3,11,20,22,34,90,3,2,18.0,20.0
221,63.51,4,6,18,29,33,90,3,2,18.0,18.0
222,63.51,8,17,23,28,34,110,3,2,22.0,23.0
223,63.51,8,15,21,30,42,116,3,2,23.2,21.0
224,63.51,6,15,18,29,42,110,3,2,22.0,18.0
225,63.51,6,16,22,27,39,110,3,2,22.0,22.0
226,63.51,7,12,14,24,33,90,3,2,18.0,14.0
227,63.51,8,10,18,23,31,90,3,2,18.0,18.0
228,63.51,5,16,25,30,34,110,3,2,22.0,25.0
229,63.51,5,12,20,22,31,90,3,2,18.0,20.0
230,63.51,8,11,14,22,35,90,3,2,18.0,14.0
231,63.51,5,7,18,38,42,110,3,2,22.0,18.0
232,63.51,5,19,22,26,38,110,3,2,22.0,22.0
233,63.5,7,8,12,33,40,100,3,2,20.0,12.0
234,63.5,3,8,20,25,40,96,3,2,19.2,20.0
235,63.5,1,14,18,32,39,104,3,2,20.8,18.0
236,63.5,2,7,24,33,38,104,3,2,20.8,24.0
237,63.5,9,12,23,24,32,100,3,2,20.0,23.0
238,63.5,2,7,24,29,34,96,3,2,19.2,24.0
239,63.5,7,10,24,25,34,100,3,2,20.0,24.0
240,63.5,5,14,18,32,35,104,3,2,20.8,18.0
241,63.5,3,8,24,27,42,104,3,2,20.8,24.0
242,63.5,4,7,24,29,40,104,3,2,20.8,24.0
243,63.5,5,9,20,28,42,104,3,2,20.8,20.0
244,63.01,1,10,12,27,39,89,2,3,17.8,12.0
245,63.01,7,19,23,30,32,111,2,3,22.2,23.0
246,63.01,3,9,25,34,40,111,2,3,22.2,25.0
247,63.01,5,13,28,31,34,111,2,3,22.2,28.0
248,63.01,8,15,24,29,35,111,2,3,22.2,24.0
249,63.01,3,15,19,32,42,111,2,3,22.2,19.0
250,63.01,3,17,26,28,37,111,2,3,22.2,26.0
251,63.01,7,12,14,25,31,89,2,3,17.8,14.0
252,63.01,5,8,11,24,41,89,2,3,17.8,11.0
253,63.01,5,11,26,34,41,117,2,3,23.4,26.0
254,63.01,5,14,26,31,41,117,2,3,23.4,26.0
255,63.01,1,4,19,28,37,89,2,3,17.8,19.0
256,63.01,4,8,11,27,39,89,2,3,17.8,11.0
257,63.01,2,13,20,23,31,89,2,3,17.8,20.0
258,63.01,2,5,19,23,40,89,2,3,17.8,19.0
259,63.01,9,13,24,30,35,111,2,3,22.2,24.0
260,63.01,6,9,13,28,33,89,2,3,17.8,13.0
261,63.01,1,16,20,39,41,117,2,3,23.4,20.0
262,63.01,2,17,27,31,34,111,2,3,22.2,27.0
263,63.01,6,15,27,29,34,111,2,3,22.2,27.0
264,63.01,7,13,23,30,38,111,2,3,22.2,23.0
265,63.01,8,11,23,30,39,111,2,3,22.2,23.0
266,63.01,5,13,17,20,34,89,2,3,17.8,17.0
267,63.0,5,11,15,30,34,95,2,3,19.0,15.0
268,63.0,3,5,21,32,34,95,2,3,19.0,21.0
269,63.0,4,5,13,35,42,99,2,3,19.8,13.0
270,63.0,4,11,13,31,36,95,2,3,19.0,13.0
271,63.0,3,9,26,31,36,105,2,3,21.0,26.0
272,63.0,2,19,21,22,37,101,2,3,20.2,21.0
273,63.0,3,8,27,32,35,105,2,3,21.0,27.0
274,63.0,11,15,22,24,33,105,2,3,21.0,22.0
275,63.0,1,7,27,34,36,105,2,3,21.0,27.0
276,63.0,1,6,27,29,32,95,2,3,19.0,27.0
277,63.0,5,9,26,31,34,105,2,3,21.0,26.0
278,63.0,8,13,20,21,39,101,2,3,20.2,20.0
279,62.51,6,17,23,30,36,112,3,2,22.4,23.0
280,62.51,5,8,24,33,42,112,3,2,22.4,24.0
281,62.51,5,14,16,20,33,88,3,2,17.6,16.0
282,62.51,6,14,25,31,42,118,3,2,23.6,25.0
283,62.51,5,12,26,29,40,112,3,2,22.4,26.0
284,62.51,8,12,26,29,37,112,3,2,22.4,26.0
285,62.51,9,16,18,27,42,112,3,2,22.4,18.0
286,62.5,4,6,20,31,33,94,3,2,18.8,20.0
287,62.5,5,14,18,30,39,106,3,2,21.2,18.0
288,62.5,4,10,21,33,34,102,3,2,20.4,21.0
289,62.5,4,13,16,34,39,106,3,2,21.2,16.0
290,62.5,5,7,16,30,36,94,3,2,18.8,16.0
291,62.5,2,10,19,36,39,106,3,2,21.2,19.0
292,62.5,1,8,27,34,36,106,3,2,21.2,27.0
293,62.5,2,5,18,33,36,94,3,2,18.8,18.0
294,62.5,6,14,15,24,39,98,3,2,19.6,15.0
295,62.5,3,6,26,28,31,94,3,2,18.8,26.0
296,62.5,1,2,24,35,40,102,3,2,20.4,24.0
297,62.5,2,5,16,33,38,94,3,2,18.8,16.0
298,62.5,10,18,20,23,35,106,3,2,21.2,20.0
299,62.5,4,8,24,27,31,94,3,2,18.8,24.0
300,62.5,3,15,16,26,42,102,3,2,20.4,16.0
301,62.5,6,19,20,23,34,102,3,2,20.4,20.0
302,62.01,4,7,16,29,31,87,2,3,17.4,16.0
303,62.01,2,15,19,36,41,113,2,3,22.6,19.0
304,62.01,1,9,13,28,36,87,2,3,17.4,13.0
305,62.01,3,8,27,34,41,113,2,3,22.6,27.0
306,62.01,3,8,14,29,33,87,2,3,17.4,14.0
307,62.01,1,15,27,32,38,113,2,3,22.6,27.0
308,62.01,5,8,19,24,31,87,2,3,17.4,19.0
309,62.01,6,15,20,37,41,119,2,3,23.8,20.0
310,62.01,8,12,17,35,41,113,2,3,22.6,17.0
311,62.01,9,16,27,29,32,113,2,3,22.6,27.0
312,62.01,2,13,23,36,39,113,2,3,22.6,23.0
313,62.01,5,15,18,34,41,113,2,3,22.6,18.0
314,62.01,1,8,18,27,33,87,2,3,17.4,18.0
315,62.01,2,18,27,31,41,119,2,3,23.8,27.0
316,62.01,5,9,14,23,36,87,2,3,17.4,14.0
317,62.0,9,12,17,30,39,107,2,3,21.4,17.0
318,62.0,3,8,23,27,32,93,2,3,18.6,23.0
319,62.0,9,10,21,23,40,103,2,3,20.6,21.0
320,62.0,3,11,24,25,34,97,2,3,19.4,24.0
321,62.0,1,7,14,32,39,93,2,3,18.6,14.0
322,62.0,8,16,19,31,33,107,2,3,21.4,19.0
323,62.0,3,4,14,35,41,97,2,3,19.4,14.0
324,62.0,3,8,21,26,35,93,2,3,18.6,21.0
325,62.0,10,16,21,23,37,107,2,3,21.4,21.0
326,62.0,4,19,21,22,31,97,2,3,19.4,21.0
327,62.0,3,11,18,36,39,107,2,3,21.4,18.0
328,62.0,7,13,17,34,36,107,2,3,21.4,17.0
329,62.0,3,6,17,32,35,93,2,3,18.6,17.0
330,62.0,9,18,19,27,30,103,2,3,20.6,19.0
331,62.0,9,10,15,26,37,97,2,3,19.4,15.0
332,62.0,7,13,20,21,36,97,2,3,19.4,20.0
333,62.0,1,19,20,26,31,97,2,3,19.4,20.0
334,62.0,3,10,22,23,39,97,2,3,19.4,22.0
335,62.0,9,12,19,30,37,107,2,3,21.4,19.0
336,62.0,2,3,20,37,41,103,2,3,20.6,20.0
337,62.0,3,5,28,34,37,107,2,3,21.4,28.0
338,62.0,7,10,19,32,39,107,2,3,21.4,19.0
339,61.51,1,10,18,21,36,86,3,2,17.2,18.0
340,61.51,7,16,20,33,38,114,3,2,22.8,20.0
341,61.51,3,16,27,34,40,120,3,2,24.0,27.0
342,61.51,9,14,24,31,36,114,3,2,22.8,24.0
343,61.51,1,9,16,26,34,86,3,2,17.2,16.0
344,61.51,3,10,19,24,30,86,3,2,17.2,19.0
345,61.51,6,16,20,35,37,114,3,2,22.8,20.0
346,61.51,8,13,28,31,40,120,3,2,24.0,28.0
347,61.51,1,8,12,25,40,86,3,2,17.2,12.0
348,61.51,8,11,29,32,34,114,3,2,22.8,29.0
349,61.51,4,10,15,25,32,86,3,2,17.2,15.0
350,61.51,3,18,25,28,40,114,3,2,22.8,25.0
351,61.51,3,6,15,22,40,86,3,2,17.2,15.0
352,61.51,7,18,20,33,42,120,3,2,24.0,20.0
353,61.51,9,18,26,28,33,114,3,2,22.8,26.0
354,61.51,4,6,11,25,40,86,3,2,17.2,11.0
355,61.51,2,19,28,31,40,120,3,2,24.0,28.0
356,61.5,1,8,25,28,30,92,3,2,18.4,25.0
357,61.5,1,8,20,23,40,92,3,2,18.4,20.0
358,61.5,2,19,20,27,36,104,3,2,20.8,20.0
359,61.5,6,10,23,24,33,96,3,2,19.2,23.0
360,61.5,9,12,19,30,38,108,3,2,21.6,19.0
361,61.5,8,12,13,30,41,104,3,2,20.8,13.0
362,61.5,2,8,20,27,35,92,3,2,18.4,20.0
363,61.5,7,15,16,20,38,96,3,2,19.2,16.0
364,61.5,2,9,18,30,33,92,3,2,18.4,18.0
365,61.5,13,18,22,24,31,108,3,2,21.6,22.0
366,61.5,6,8,29,31,34,108,3,2,21.6,29.0
367,61.5,6,13,18,29,30,96,3,2,19.2,18.0
368,61.5,14,16,20,25,33,108,3,2,21.6,20.0
369,61.5,10,12,20,31,35,108,3,2,21.6,20.0
370,61.01,8,16,25,29,37,115,2,3,23.0,25.0
371,61.01,5,16,23,33,38,115,2,3,23.0,23.0
372,61.01,5,8,13,27,32,85,2,3,17.0,13.0
373,61.01,4,15,27,34,41,121,2,3,24.2,27.0
374,61.01,9,13,15,38,40,115,2,3,23.0,15.0
375,61.01,3,12,27,38,41,121,2,3,24.2,27.0
376,61.01,9,11,14,20,31,85,2,3,17.0,14.0
377,61.01,7,14,21,37,42,121,2,3,24.2,21.0
378,61.01,6,18,21,33,37,115,2,3,23.0,21.0
379,61.01,9,12,26,33,41,121,2,3,24.2,26.0
380,61.01,3,12,27,35,38,115,2,3,23.0,27.0
381,61.01,1,4,19,27,34,85,2,3,17.0,19.0
382,61.01,6,15,23,37,40,121,2,3,24.2,23.0
383,61.01,3,15,24,38,41,121,2,3,24.2,24.0
384,61.01,3,7,13,22,40,85,2,3,17.0,13.0
385,61.01,7,9,27,32,40,115,2,3,23.0,27.0
386,61.01,1,7,16,24,37,85,2,3,17.0,16.0
387,61.0,4,7,21,23,36,91,2,3,18.2,21.0
388,61.0,7,15,16,27,40,105,2,3,21.0,16.0
389,61.0,10,14,21,23,41,109,2,3,21.8,21.0
390,61.0,1,16,18,35,39,109,2,3,21.8,18.0
391,61.0,7,15,16,20,37,95,2,3,19.0,16.0
392,61.0,1,4,12,35,39,91,2,3,18.2,12.0
393,61.0,3,14,15,24,39,95,2,3,19.0,15.0
394,61.0,9,13,16,33,38,109,2,3,21.8,16.0
395,61.0,13,19,22,25,30,109,2,3,21.8,22.0
396,61.0,11,13,23,30,32,109,2,3,21.8,23.0
397,61.0,5,17,21,22,40,105,2,3,21.0,21.0
398,60.51,9,16,20,34,37,116,3,2,23.2,20.0
399,60.51,2,6,15,27,34,84,3,2,16.8,15.0
400,60.51,12,16,20,29,33,110,3,2,22.0,20.0
401,60.51,3,12,14,24,31,84,3,2,16.8,14.0
402,60.51,6,9,28,31,42,116,3,2,23.2,28.0
403,60.51,1,4,13,24,42,84,3,2,16.8,13.0
404,60.51,3,12,29,34,38,116,3,2,23.2,29.0
405,60.51,5,19,22,32,38,116,3,2,23.2,22.0
406,60.51,3,14,29,34,36,116,3,2,23.2,29.0
407,60.51,6,14,19,35,42,116,3,2,23.2,19.0
408,60.51,5,8,18,20,33,84,3,2,16.8,18.0
409,60.51,2,4,22,25,37,90,3,2,18.0,22.0
410,60.51,11,13,20,28,38,110,3,2,22.0,20.0
411,60.51,11,17,22,24,36,110,3,2,22.0,22.0
412,60.51,7,12,18,38,41,116,3,2,23.2,18.0
413,60.51,10,16,20,23,41,110,3,2,22.0,20.0
414,60.5,3,4,21,34,38,100,3,2,20.0,21.0
415,60.5,8,9,14,34,41,106,3,2,21.2,14.0
416,60.5,5,12,13,26,38,94,3,2,18.8,13.0
417,60.5,7,10,11,28,38,94,3,2,18.8,11.0
418,60.5,8,13,21,22,30,94,3,2,18.8,21.0
419,60.5,5,15,16,20,38,94,3,2,18.8,16.0
420,60.5,2,4,17,38,39,100,3,2,20.0,17.0
421,60.5,2,13,24,25,30,94,3,2,18.8,24.0
422,60.5,6,16,23,30,31,106,3,2,21.2,23.0
423,60.5,4,16,17,25,32,94,3,2,18.8,17.0
424,60.5,2,3,20,36,39,100,3,2,20.0,20.0
425,60.5,1,8,29,30,32,100,3,2,20.0,29.0
426,60.5,2,3,28,32,41,106,3,2,21.2,28.0
427,60.5,6,8,13,36,37,100,3,2,20.0,13.0
428,60.5,4,6,25,32,33,100,3,2,20.0,25.0
429,60.5,8,9,18,23,36,94,3,2,18.8,18.0
430,60.01,5,18,23,36,41,123,2,3,24.6,23.0
431,60.01,3,6,23,27,30,89,2,3,17.8,23.0
432,60.01,3,6,15,21,38,83,2,3,16.6,15.0
433,60.01,8,11,23,39,42,123,2,3,24.6,23.0
434,60.01,1,5,10,35,38,89,2,3,17.8,10.0
435,60.01,3,7,14,28,31,83,2,3,16.6,14.0
436,60.01,4,9,18,21,31,83,2,3,16.6,18.0
437,60.01,1,3,16,30,39,89,2,3,17.8,16.0
438,60.01,2,21,23,30,41,117,2,3,23.4,23.0
439,60.01,2,5,13,33,36,89,2,3,17.8,13.0
440,60.01,7,10,28,33,39,117,2,3,23.4,28.0
441,60.01,2,13,19,26,29,89,2,3,17.8,19.0
442,60.01,5,16,19,21,28,89,2,3,17.8,19.0
443,60.0,8,9,17,32,41,107,2,3,21.4,17.0
444,60.0,2,3,27,33,36,101,2,3,20.2,27.0
445,60.0,8,15,16,29,39,107,2,3,21.4,16.0
446,60.0,1,17,28,29,32,107,2,3,21.4,28.0
447,60.0,6,7,21,23,42,99,2,3,19.8,21.0
448,60.0,5,11,20,35,36,107,2,3,21.4,20.0
449,59.51,11,14,22,25,40,112,3,2,22.4,22.0
450,59.51,8,17,26,33,40,124,3,2,24.8,26.0
451,59.51,1,7,10,24,40,82,3,2,16.4,10.0
452,59.51,7,16,23,34,38,118,3,2,23.6,23.0
453,59.51,6,18,25,29,40,118,3,2,23.6,25.0
454,59.51,10,17,22,26,37,112,3,2,22.4,22.0
455,59.51,6,11,13,22,30,82,3,2,16.4,13.0
456,59.51,7,12,26,38,41,124,3,2,24.8,26.0
457,59.51,6,16,18,37,41,118,3,2,23.6,18.0
458,59.51,3,6,12,23,38,82,3,2,16.4,12.0
459,59.51,1,6,14,23,38,82,3,2,16.4,14.0
460,59.51,1,3,18,22,38,82,3,2,16.4,18.0
461,59.51,3,7,14,28,30,82,3,2,16.4,14.0
462,59.51,1,4,19,30,34,88,3,2,17.6,19.0
463,59.51,1,20,24,30,37,112,3,2,22.4,24.0
